colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width
Hazel Oak,Woodmatt,Laminate,56848,Laminate Hazel Oak Woodmatt 0.7mm 3650x1360,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/hazel-oak/,2025-08-21T05:00:25Z,Woodmatt,0.7,3650,1360
Hazel Oak,Woodmatt,Laminate,56851,Laminate Hazel Oak Woodmatt Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/hazel-oak/,2025-08-21T05:00:28Z,Woodmatt,0.7,1825,680
Hazel Oak,Woodmatt,Laminate,56849,Laminate Hazel Oak Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/hazel-oak/,2025-08-21T05:00:31Z,Woodmatt,0.7,3650,680
Hazel Oak,Woodmatt,Laminate,56850,Laminate Hazel Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/hazel-oak/,2025-08-21T05:00:34Z,Woodmatt,0.7,1825,1360
Society Oak,Woodmatt,Laminate,56844,Laminate Society Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/society-oak/,2025-08-21T05:01:16Z,Woodmatt,0.7,3650,1360
Society Oak,Woodmatt,Laminate,56845,Laminate Society Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/society-oak/,2025-08-21T05:01:19Z,Woodmatt,0.7,3650,680
Society Oak,Woodmatt,Laminate,56847,Laminate Society Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/society-oak/,2025-08-21T05:01:22Z,Woodmatt,0.7,1825,680
Society Oak,Woodmatt,Laminate,56846,Laminate Society Oak Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/society-oak/,2025-08-21T05:01:25Z,Woodmatt,0.7,1825,1360
District Oak,Woodmatt,Laminate,56852,Laminate District Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/district-oak/,2025-08-21T05:02:07Z,Woodmatt,0.7,3650,1360
District Oak,Woodmatt,Laminate,56853,Laminate District Oak Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/district-oak/,2025-08-21T05:02:10Z,Woodmatt,0.7,3650,680
