colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width,minimum_order_qty,order_multiple
Manor Oak,Woodmatt,Laminate,56840,Laminate Manor Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/manor-oak/,2025-08-21T06:44:14Z,Woodmatt,0.7,3650,1360,1,1
Manor Oak,Woodmatt,Laminate,56841,Laminate Manor Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/manor-oak/,2025-08-21T06:44:15Z,Woodmatt,0.7,3650,680,1,1
Manor Oak,Woodmatt,Laminate,56842,Laminate Manor Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/manor-oak/,2025-08-21T06:44:16Z,Woodmatt,0.7,1825,1360,1,1
Manor Oak,Woodmatt,Laminate,56843,Laminate Manor Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/manor-oak/,2025-08-21T06:44:17Z,Woodmatt,0.7,1825,680,1,1
Hazel Oak,Woodmatt,Laminate,56848,Laminate Hazel Oak Woodmatt 0.7mm 3650x1360,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/hazel-oak/,2025-08-21T06:44:33Z,Woodmatt,0.7,3650,1360,1,1
Hazel Oak,Woodmatt,Laminate,56851,Laminate Hazel Oak Woodmatt Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/hazel-oak/,2025-08-21T06:44:34Z,Woodmatt,0.7,1825,680,1,1
Hazel Oak,Woodmatt,Laminate,56849,Laminate Hazel Oak Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/hazel-oak/,2025-08-21T06:44:35Z,Woodmatt,0.7,3650,680,1,1
Hazel Oak,Woodmatt,Laminate,56850,Laminate Hazel Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/hazel-oak/,2025-08-21T06:44:36Z,Woodmatt,0.7,1825,1360,1,1
Society Oak,Woodmatt,Laminate,56844,Laminate Society Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/society-oak/,2025-08-21T06:44:52Z,Woodmatt,0.7,3650,1360,1,1
Society Oak,Woodmatt,Laminate,56845,Laminate Society Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/society-oak/,2025-08-21T06:44:53Z,Woodmatt,0.7,3650,680,1,1
Society Oak,Woodmatt,Laminate,56847,Laminate Society Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/society-oak/,2025-08-21T06:44:54Z,Woodmatt,0.7,1825,680,1,1
