colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,substrate,thickness,length,width,pack_size,minimum_order_qty,order_multiple
Dark Cement,Smooth,Compact,50316,Compact Laminate Dark Cement Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/dark-cement/,2025-08-21T06:58:48Z,Smooth,PRC,13,3670,1840,15,1,1
Dark Cement,Smooth,Compact,51880,Compact Laminate Dark Cement Smooth BC 2730x1830 5mm,1,In stock at supply site,$462.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/dark-cement/,2025-08-21T06:58:49Z,Smooth,PRC,5,2740,1840,50,1,1
Catalina Marble,Smooth,Compact,50314,Compact Laminate Catalina Marble Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/catalina-marble/,2025-08-21T06:58:59Z,Smooth,PRC,13,3670,1840,15,1,1
Catalina Marble,Smooth,Compact,51882,Compact Laminate Catalina Marble Smooth BC 2730x1830 5mm,1,In stock at supply site,$462.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/catalina-marble/,2025-08-21T06:59:00Z,Smooth,PRC,5,2740,1840,50,1,1
Athena Stone,Smooth,Compact,47647,Compact Laminate Athena Stone Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/athena-stone/,2025-08-21T06:59:10Z,Smooth,PRC,13,3670,1840,15,1,1
Athena Stone,Smooth,Compact,51876,Compact Laminate Athena Stone Smooth BC 2730x1830 5mm,1,In stock at supply site,$462.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/athena-stone/,2025-08-21T06:59:11Z,Smooth,PRC,5,2740,1840,50,1,1
Angora Oak,Woodmatt,Compact,47189,Compact Laminate Angora Oak Woodmatt BC 3660x1830 13mm,1,Place order to confirm availability,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/angora-oak/,2025-08-21T07:00:09Z,Woodmatt,PRC,13,3670,1840,15,1,1
Casentino Beech,Woodmatt,Compact,52508,Compact Laminate Casentino Beech Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/casentino-beech/,2025-08-21T07:01:00Z,Woodmatt,PRC,13,3660,1830,15,1,1
Tasmanian Oak,Woodmatt,Compact,55438,Compact Laminate Tasmanian Oak Woodmatt BC 3660x1830 5mm,1,In stock at supply site,$620.48 Ea. (Excluding GST),https://www.polytec.com.au/colour/tasmanian-oak/,2025-08-21T07:01:43Z,Woodmatt,PRC,5,3670,1840,40,1,1
Tasmanian Oak,Woodmatt,Compact,52507,Compact Laminate Tasmanian Oak Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/tasmanian-oak/,2025-08-21T07:01:44Z,Woodmatt,PRC,13,3660,1830,15,1,1
Prime Oak,Matt,Compact,55214,Compact Laminate Prime Oak Matt BC 3660x1830 13mm,1,In stock at supply site,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/prime-oak/,2025-08-21T07:02:24Z,Matt,PRC,13,3670,1840,15,1,1
Prime Oak,Woodmatt,Compact,47186,Compact Laminate Prime Oak Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/prime-oak/,2025-08-21T07:02:41Z,Woodmatt,PRC,13,3670,1840,15,1,1
Prime Oak,Woodmatt,Compact,55434,Compact Laminate Prime Oak Woodmatt BC 3660x1830 5mm,1,In stock at supply site,$620.48 Ea. (Excluding GST),https://www.polytec.com.au/colour/prime-oak/,2025-08-21T07:02:42Z,Woodmatt,PRC,5,3670,1840,40,1,1
Antico Oak,Woodmatt,Compact,55428,Compact Laminate Antico Oak Woodmatt BC 3660x1830 5mm,1,In stock at supply site,$620.48 Ea. (Excluding GST),https://www.polytec.com.au/colour/antico-oak/,2025-08-21T07:03:23Z,Woodmatt,PRC,5,3670,1840,40,1,1
Antico Oak,Woodmatt,Compact,47188,Compact Laminate Antico Oak Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/antico-oak/,2025-08-21T07:03:24Z,Woodmatt,PRC,13,3670,1840,15,1,1
Notaio Walnut,Woodmatt,Compact,47185,Compact Laminate Notaio Walnut Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/notaio-walnut/,2025-08-21T07:04:09Z,Woodmatt,PRC,13,3670,1840,15,1,1
Notaio Walnut,Woodmatt,Compact,55430,Compact Laminate Notaio Walnut Woodmatt BC 3660x1830 5mm,1,In stock at supply site,$620.48 Ea. (Excluding GST),https://www.polytec.com.au/colour/notaio-walnut/,2025-08-21T07:04:10Z,Woodmatt,PRC,5,3670,1840,40,1,1
Florentine Walnut,Woodmatt,Compact,51656,Compact Laminate Florentine Walnut Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/florentine-walnut/,2025-08-21T07:04:49Z,Woodmatt,PRC,13,3670,1840,15,1,1
Empire Oak,Woodmatt,Compact,47187,Compact Laminate Empire Oak Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/empire-oak/,2025-08-21T07:06:02Z,Woodmatt,PRC,13,3670,1840,15,1,1
Empire Oak,Woodmatt,Compact,55429,Compact Laminate Empire Oak Woodmatt BC 3660x1830 5mm,1,In stock at supply site,$620.48 Ea. (Excluding GST),https://www.polytec.com.au/colour/empire-oak/,2025-08-21T07:06:03Z,Woodmatt,PRC,5,3670,1840,40,1,1
Bottega Oak,Woodmatt,Compact,47190,Compact Laminate Bottega Oak Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/bottega-oak/,2025-08-21T07:07:02Z,Woodmatt,PRC,13,3670,1840,15,1,1
Perugian Walnut,Woodmatt,Compact,50319,Compact Laminate Perugian Walnut Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/perugian-walnut/,2025-08-21T07:07:31Z,Woodmatt,PRC,13,3670,1840,15,1,1
Polar White,Matt,Compact,11603,Compact Laminate Polar White Matt BC 3660x1830 13mm,1,In stock at supply site,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/polar-white/,2025-08-21T07:08:46Z,Matt,PRC,13,3670,1840,15,1,1
Polar White,Matt,Compact,43269,Compact Laminate Polar White Matt Black Core 3660x1830 5mm,1,In stock at supply site,$496.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/polar-white/,2025-08-21T07:08:46Z,Matt,PRC,5,3670,1840,40,1,1
Polar White,Matt,Compact,47609,Compact Laminate Polar White Matt BC 3660x1830 18mm,1,In stock at supply site,$1526.47 Ea. (Excluding GST),https://www.polytec.com.au/colour/polar-white/,2025-08-21T07:08:47Z,Matt,PRC,18,3670,1840,11,1,1
Blossom White,Matt,Compact,52502,Compact Laminate Blossom White Matt BC 3660x1830 13mm,1,In stock at supply site,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/blossom-white/,2025-08-21T07:11:22Z,Matt,PRC,13,3670,1840,15,1,1
Blossom White,Matt,Compact,56710,Compact Laminate Blossom White Matt BC 3660x1830 5mm,1,Place order to confirm availability,$496.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/blossom-white/,2025-08-21T07:11:22Z,Matt,PRC,5,3670,1840,40,1,1
Oyster Grey,Matt,Compact,10827,Compact Laminate Oyster Grey Matt BC 3660x1830 13mm,1,In stock at supply site,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/oyster-grey/,2025-08-21T07:16:32Z,Matt,PRC,13,3670,1840,15,1,1
Oyster Grey,Matt,Compact,47610,Compact Laminate Oyster Grey BC Matt 3660x1830 18mm,1,In stock at supply site,$1526.40 Ea. (Excluding GST),https://www.polytec.com.au/colour/oyster-grey/,2025-08-21T07:16:32Z,Matt,PRC,18,3670,1840,11,1,1
Natural Oak,Matt,Compact,49107,Compact Laminate Natural Oak Matt BC 3660x1830 13mm,1,In stock at supply site,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/natural-oak/,2025-08-21T07:17:41Z,Matt,PRC,13,3670,1840,15,1,1
Natural Oak,Matt,Compact,55436,Compact Laminate Natural Oak Matt BC 3660x1830 5mm,1,In stock at supply site,$496.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/natural-oak/,2025-08-21T07:17:41Z,Matt,PRC,5,3670,1840,40,1,1
Nouveau Grey,Matt,Compact,50497,Compact Laminate Nouveau Grey Matt BC 3660x1830 13mm,1,In stock at supply site,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/nouveau-grey/,2025-08-21T07:37:26Z,Matt,PRC,13,3670,1840,15,1,1
Nouveau Grey,Matt,Compact,55437,Compact Laminate Nouveau Grey Matt BC 3660x1830 5mm,1,In stock at supply site,$496.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/nouveau-grey/,2025-08-21T07:37:27Z,Matt,PRC,5,3670,1840,40,1,1
Nickel,Matt,Compact,47183,Compact Laminate Nickel Matt BC 3660x1830 13mm,1,Place order to confirm availability,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/nickel/,2025-08-21T07:38:06Z,Matt,PRC,13,3670,1840,15,1,1
Stone Grey,Matt,Compact,47181,Compact Laminate Stone Grey Matt BC 3660x1830 13mm,1,In stock at supply site,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/stone-grey/,2025-08-21T07:38:26Z,Matt,PRC,13,3670,1840,15,1,1
Stone Grey,Matt,Compact,55431,Compact Laminate Stone Grey Matt BC 3660x1830 5mm,1,In stock at supply site,$496.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/stone-grey/,2025-08-21T07:38:26Z,Matt,PRC,5,3670,1840,40,1,1
Titanium,Matt,Compact,42868,Compact Laminate Titanium Matt BC 3660x1830 13mm,1,In stock at supply site,$1124.29 Ea. (Excluding GST),https://www.polytec.com.au/colour/titanium/,2025-08-21T07:39:27Z,Matt,PRC,13,3670,1840,15,1,1
Cinder,Matt,Compact,47182,Compact Laminate Cinder Matt BC 3660x1830 13mm,1,In stock at supply site,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/cinder/,2025-08-21T07:41:29Z,Matt,PRC,13,3670,1840,15,1,1
Cinder,Matt,Compact,55432,Compact Laminate Cinder Matt BC 3660x1830 5mm,1,In stock at supply site,$496.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/cinder/,2025-08-21T07:41:30Z,Matt,PRC,5,3670,1840,40,1,1
Storm,Matt,Compact,11617,Compact Laminate Storm Matt BC 3660x1830 13mm,1,In stock at supply site,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/storm/,2025-08-21T07:42:47Z,Matt,PRC,13,3670,1840,15,1,1
Black,Matt,Compact,10693,Compact Laminate Black Matt BC 3660x1830 13mm,1,In stock at supply site,$1127.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/black/,2025-08-21T07:44:11Z,Matt,PRC,13,3670,1840,15,1,1
Black,Matt,Compact,55435,Compact Laminate Black Matt BC 3660x1830 5mm,1,In stock at supply site,$496.37 Ea. (Excluding GST),https://www.polytec.com.au/colour/black/,2025-08-21T07:44:12Z,Matt,PRC,5,3670,1840,40,1,1
Black,Matt,Compact,54023,Compact Laminate Black Matt BC 3660x1830 18mm,1,In stock at supply site,$1530.58 Ea. (Excluding GST),https://www.polytec.com.au/colour/black/,2025-08-21T07:44:13Z,Matt,PRC,18,3670,1840,11,1,1
